signal with carrier,baseband signal,x
-0.705341,-0.997503,609
-0.498459,-0.996917,610
-0.257854,-0.99627,611
-4.55913e-09,-0.995562,612
0.257471,-0.994792,613
0.49698,-0.993961,614
0.702205,-0.993068,615
0.859197,-0.992115,616
0.957329,-0.9911,617
0.990024,-0.990024,618
0.955191,-0.988886,619
0.855363,-0.987688,620
0.697511,-0.986429,621
0.492555,-0.985109,622
0.254608,-0.983729,623
4.58655e-09,-0.982287,624
-0.253846,-0.980785,625
-0.489611,-0.979223,626
-0.691268,-0.9776,627
-0.845169,-0.975917,628
-0.940979,-0.974173,629
-0.97237,-0.97237,630
-0.937437,-0.970506,631
-0.838818,-0.968583,632
-0.683489,-0.9666,633
-0.482279,-0.964557,634
-0.249102,-0.962455,635
-4.57008e-09,-0.960294,636
0.247968,-0.958073,637
0.477897,-0.955793,638
0.674194,-0.953454,639
0.823639,-0.951057,640
0.916277,-0.9486,641
0.946085,-0.946085,642
0.911363,-0.943512,643
0.814827,-0.940881,644
0.663401,-0.938191,645
0.467722,-0.935444,646
0.241385,-0.932639,647
4.50834e-09,-0.929776,648
-0.239888,-0.926857,649
-0.46194,-0.92388,650
-0.651136,-0.920845,651
-0.794799,-0.917755,652
-0.883443,-0.914607,653
-0.911403,-0.911403,654
-0.877199,-0.908143,655
-0.783603,-0.904827,656
-0.637425,-0.901455,657
-0.449014,-0.898028,658
-0.231525,-0.894545,659
-4.40036e-09,-0.891007,660
0.229679,-0.887413,661
0.441883,-0.883766,662
0.622299,-0.880063,663
0.758904,-0.876307,664
0.842766,-0.872496,665
0.868632,-0.868632,666
0.835249,-0.864713,667
0.745424,-0.860742,668
0.605791,-0.856718,669
0.42632,-0.85264,670
0.219611,-0.84851,671
4.24562e-09,-0.844328,672
-0.217432,-0.840094,673
-0.417904,-0.835807,674
-0.587938,-0.83147,675
-0.716273,-0.827081,676
-0.79461,-0.822641,677
-0.81815,-0.81815,678
-0.785885,-0.813608,679
-0.700629,-0.809017,680
-0.568779,-0.804376,681
-0.399842,-0.799685,682
-0.205747,-0.794944,683
-4.04417e-09,-0.790155,684
0.203255,-0.785317,685
0.390215,-0.78043,686
0.548358,-0.775496,687
0.667284,-0.770513,688
0.7394,-0.765483,689
0.760406,-0.760406,690
0.729546,-0.755282,691
0.649615,-0.750111,692
0.52672,-0.744894,693
0.369816,-0.739631,694
0.190057,-0.734323,695
3.79646e-09,-0.728969,696
-0.187274,-0.72357,697
-0.359063,-0.718126,698
-0.503912,-0.712639,699
-0.612372,-0.707107,700
-0.677627,-0.701531,701
-0.695913,-0.695913,702
-0.666732,-0.690251,703
-0.592835,-0.684547,704
-0.479985,-0.678801,705
-0.336506,-0.673013,706
-0.17268,-0.667183,707
-3.50349e-09,-0.661312,708
0.16963,-0.6554,709
0.324724,-0.649448,710
0.454992,-0.643456,711
0.552025,-0.637424,712
0.60984,-0.631353,713
0.625243,-0.625243,714
0.597999,-0.619094,715
0.530793,-0.612907,716
0.428989,-0.606682,717
0.30021,-0.60042,718
0.15377,-0.594121,719
3.16674e-09,-0.587785,720
-0.150481,-0.581413,721
-0.287503,-0.575005,722
-0.402034,-0.568562,723
-0.486778,-0.562083,724
-0.53664,-0.55557,725
-0.549023,-0.549023,726
-0.523958,-0.542442,727
-0.46404,-0.535827,728
-0.374186,-0.529179,729
-0.261249,-0.522499,730
-0.133495,-0.515786,731
-2.78821e-09,-0.509041,732
0.129996,-0.502266,733
0.247729,-0.495459,734
0.345507,-0.488621,735
0.417211,-0.481754,736
0.458676,-0.474856,737
0.46793,-0.46793,738
0.445267,-0.460974,739
0.393167,-0.45399,740
0.316062,-0.446979,741
0.21997,-0.439939,742
0.112036,-0.432873,743
2.37039e-09,-0.425779,744
-0.108357,-0.41866,745
-0.205757,-0.411514,746
-0.285914,-0.404344,747
-0.34394,-0.397148,748
-0.376641,-0.389928,749
-0.382683,-0.382683,750
-0.362624,-0.375416,751
-0.318805,-0.368125,752
-0.255132,-0.360811,753
-0.176737,-0.353475,754
-0.0895817,-0.346117,755
-1.91623e-09,-0.338738,756
0.0857566,-0.331338,757
0.161959,-0.323917,758
0.223783,-0.316477,759
0.267617,-0.309017,760
0.291263,-0.301538,761
0.29404,-0.29404,762
0.276761,-0.286525,763
0.241613,-0.278991,764
0.191937,-0.27144,765
0.131937,-0.263873,766
0.0663326,-0.256289,767
1.42916e-09,-0.24869,768
-0.0623948,-0.241075,769
-0.116723,-0.233445,770
-0.159666,-0.225801,771
-0.188918,-0.218143,772
-0.2033,-0.210472,773
-0.202787,-0.202787,774
-0.188443,-0.19509,775
-0.162277,-0.187381,776
-0.127039,-0.179661,777
-0.0859646,-0.171929,778
-0.0424947,-0.164187,779
-9.13039e-10,-0.156434,780
0.0384793,-0.148672,781
0.0704506,-0.140901,782
0.094131,-0.133121,783
0.108542,-0.125333,784
0.113532,-0.117537,785
0.109734,-0.109734,786
0.0984515,-0.101924,787
0.0815002,-0.0941083,788
